billing_code,billing_code_type,billing_code_type_version,description,name,negotiated_rates_count,negotiation_arrangement,negotiated_prices_count,billing_class,expiration_date,negotiated_rate,negotiated_type,service_code,provider_references
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,45.96,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[10228]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,46.96,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[7905]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,49.43,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[14254|24436|2481|2835|337|36064|43339|43400|4388|5001|515|516|5900|6976|8038]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,50.23,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[7122]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,53.10,percentage,N/A,[18895]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,53.72,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[10442|39600|40866|42127]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,53.79,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[16762]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,56.64,negotiated,N/A,[40411|40454|8359]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,56.97,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[5387]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,60.00,percentage,N/A,[34213]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,60.50,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[39975]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,60.77,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[1696]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,61.37,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[16922|1992|1998|9427]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,62.08,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[12781|73|9263]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,62.15,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[42763]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,62.70,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[10012|10028|10035|10086|10099|10167|10201|10262|10281|10294|10326|10356|10526|10598|10804|10846|10888|10954|1098|11041|11049|11074|11164|11166|11185|11303|11314|11393|11394|11411|11534|11548|11617|12123|12352|12496|12520|12540|12572|12590|12593|12600|12832|12859|12925|12944|12962|13009|13126|13128|13205|13216|13355|13377|13411|13426|13448|13456|13534|13550|13575|13659|13716|13753|13763|1377|13812|13839|13869|13886|13987|14|14086|14091|14096|14126|14282|143|14320|14321|14655|1482|15034|15068|1525|15256|15460|15461|15570|15763|16064|1658|16680|16837|16852|16861|16867|17013|17020|17022|17096|17126|17134|17310|17386|17543|17562|17585|17649|17667|1772|17977|18120|18189|18212|1826|18490|18509|18534|18640|18661|18662|18665|18735|18787|18846|18931|18935|18936|18939|18940|18981|19066|19138|19160|19182|19183|19184|1943|1945|20615|20877|20965|20982|21071|21076|21208|21328|21336|21378|2138|21441|21465|21657|21784|21858|21902|21986|22081|22082|22194|22338|22594|22645|22792|23082|23211|23224|23245|23264|23271|23322|23486|2352|23526|23565|23737|23773|23776|2402|24021|24179|24186|24278|24650|24797|24860|24903|2498|25175|25206|25363|25448|25458|2560|25604|25621|25626|257|25722|2575|25779|25832|25946|25964|25975|26354|26399|26444|26578|2661|2681|26814|26879|26953|27020|27079|27083|27218|27223|27421|27423|27461|28013|28061|28077|28150|28151|29980|29992|30133|30480|30533|30607|30632|30710|30916|3098|30994|31007|31008|31208|31428|31562|3177|31806|31819|32209|32331|32332|32426|32496|3253|32545|32579|32598|3265|32667|32695|32709|3309|3369|3370|3385|3430|3466|3555|3628|36446|367|37528|37553|37669|37682|3778|378|38333|38434|3860|3861|38690|38695|38731|38766|38790|38872|38914|39101|39103|39318|39667|39668|39799|40447|40483|40659|40790|40791|40794|40933|41029|41103|41115|41131|41132|41383|41401|41430|41471|41479|41616|41683|41684|41764|41942|4201|42017|42067|42074|42228|42229|42230|42453|42454|4258|42792|42797|4281|4282|4284|42851|4293|4295|4296|432|4478|449|4634|4735|5010|5034|5105|5199|5333|5409|5623|5703|5716|5731|5735|5757|5834|6019|6071|6072|6083|6086|6122|6182|6188|6227|6230|6244|6257|6274|6276|6277|6319|6337|6396|6453|65|6746|6761|6778|6889|7178|7227|7237|7313|7314|7322|733|751|7673|77|7992|8094|8391|8400|8790|885|8892|8897|89|8940|8977|8987|926|9368|9369|9405|9465|9470|9539|963|9802|9824|9864|9902|9903]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,63.02,negotiated,N/A,[24596]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,63.30,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[26489|31368|5846]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,63.50,percentage,N/A,[7654|7655]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,65.00,percentage,N/A,[34706]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,65.41,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[33838|33843|33845]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,66.40,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[23973]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,68.26,percentage,N/A,[36061]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,69.05,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[27069|27070|27071|27072|27073|27074|27075|27076|28767|28768|28769|28770|28771|28772|28773|28774]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,69.09,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[16134|2394]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,institutional,2024-12-31,70.00,percentage,N/A,[35274]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,70.02,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[10006|10007|10026|10040|10064|10084|10111|10130|10133|10139|10171|10186|102|1021|10211|10264|10276|10296|10355|10357|10367|10395|10399|10420|10491|10510|10527|10629|10632|10679|10685|10723|10744|10751|10763|10799|10834|10839|10879|10884|10898|10902|10928|10930|10955|11042|11075|11158|11163|11211|11224|11227|11239|11277|11283|11305|11315|11366|11395|114|11403|11419|11439|11535|11537|11549|11600|11734|11924|11976|12125|12296|12375|12522|12530|12537|12553|12591|12602|12710|12730|12875|12883|12904|12919|12997|13019|13050|13064|13098|13148|13161|13206|13218|13269|13351|13354|13369|13378|13412|13421|13427|13449|13491|13493|13531|13568|13576|13578|13649|13660|13661|13704|13718|13721|13764|13776|13779|1378|13856|13945|13948|13998|14098|14124|14301|14306|14322|1436|14459|150|1502|15022|15110|15111|15127|15145|15162|15184|15207|15271|15276|15315|15320|15324|15348|15349|15359|15374|15381|15463|15506|15518|15534|15540|15551|15565|15574|15584|15598|1568|15764|15767|15783|15860|15871|15885|15894|15900|15936|15943|16035|16039|1610|16125|16141|16200|16213|16217|16237|16240|16266|16334|16514|16518|1655|1660|1672|16726|16736|16862|16868|16952|17019|17023|17135|17201|17229|17235|17269|17280|17297|17311|17387|1740|17408|17449|17450|17473|17506|17563|17628|17635|17642|17664|17672|17683|1773|17876|17880|17962|17976|17990|18|180|18049|18114|18122|18149|18162|18191|18248|18278|18380|18416|18430|18450|18472|18505|18521|18536|18621|18641|18666|18684|18746|18784|18790|18815|1883|18848|18850|18932|18941|19023|19046|19067|19101|19151|19186|1944|1963|20567|20616|20624|20695|20786|20834|20838|20875|20879|20910|20963|20971|20984|21027|21029|21030|21051|21073|2110|212|21264|21307|21329|21334|21371|21439|21442|21459|21466|21544|21582|21601|21626|21700|21847|21859|21895|21903|21923|21928|22004|22053|22077|2209|2210|22176|22193|22217|22231|22264|2228|22315|22329|22339|22360|22366|2245|2259|22606|22611|22617|22739|22759|22832|22936|23083|23125|23198|23226|23250|23265|23339|23361|23408|23528|2353|23577|23828|23912|24019|24022|24180|24209|24263|24272|24597|24620|24659|24668|24707|24750|24757|2480|24811|25026|25055|25084|25136|2515|25176|25193|25354|2538|25666|25671|25750|25753|25826|25859|2588|2590|25947|25960|25976|2604|26073|26089|26213|26400|26405|26426|26445|26455|26458|26483|26504|26665|26675|26678|2673|26743|2679|26799|26876|26933|26974|27007|27142|27219|27263|27419|27499|27540|27554|27561|27636|27724|27857|27911|27913|27970|28052|28142|28152|28200|2825|28307|28325|28456|28463|285|290|29981|30023|30036|30053|30072|3014|30182|302|30230|30315|30391|30471|30491|30499|30606|30608|30636|30812|30823|3085|30865|30891|30939|3099|30996|31103|31144|31209|31230|31270|31376|31386|31462|31575|31720|31745|31755|3178|31834|31858|31917|31960|31983|32052|32107|32192|32333|32345|32384|32385|32442|32463|32495|32523|32556|32580|32595|32602|32625|32669|32688|32690|3317|3371|3386|3405|34076|34447|3445|3491|352|3594|3608|3636|36447|36524|3656|36565|36622|3676|370|37796|379|38143|38206|38335|38452|38557|38652|38667|38680|38707|38733|38767|38770|38791|38873|38916|38985|39307|39592|39669|39798|39969|4|401|40192|402|40482|40508|40595|40651|40652|40766|4078|40934|40939|41046|41116|41135|4117|41237|41384|41403|41432|41434|41472|41480|41496|415|41598|41617|41652|41710|41740|4195|41972|41976|42014|4205|42231|42273|42348|424|42436|42474|42688|42724|42806|4283|42850|42853|42896|43357|4368|4373|4491|4523|4534|4546|459|4608|4636|4659|4665|4670|4671|4743|477|479|4853|4894|4924|4938|4956|4963|503|5037|5044|5067|5098|5200|5218|5334|5337|5341|5346|5403|5487|5514|5624|5643|5700|5704|5717|5718|5728|5732|5760|5828|5985|6018|6033|6087|614|6157|6183|62|6206|6225|6235|6246|6250|6251|6293|6296|6297|63|6327|6369|6376|6381|6382|6392|6397|6495|650|6550|658|6628|675|6763|6779|6855|6861|6874|6879|6880|7119|7125|7155|7229|7231|7232|7245|7288|7316|7350|7353|7362|7445|7449|7452|7481|7594|7600|7601|7658|7660|7675|7710|7756|7796|7959|7975|7993|8020|8156|8160|8161|8234|8243|8392|8401|8420|8423|8491|874|8834|886|8880|8890|8898|8921|8988|9119|9121|9163|9176|9290|9358|9371|9415|9451|9596|9631|9651|9781|9783|9788|9795|9801|9803|9826|9871|9884|9894|9905|9924|9929|9936|9977]
99283,CPT,4,"Emergency department visit, moderately severe problem","Emergency department visit, moderately severe problem",514,ffs,1,professional,2024-12-31,70.79,negotiated,01|02|03|04|05|06|07|08|09|11|12|13|14|15|16|17|19|20|21|22|23|24|25|26|31|32|33|34|41|42|49|50|51|52|53|54|55|56|57|58|60|61|62|65|71|72|81|99,[30339|30341|30342]
